frame,persistent_tracked_points,persistent_points_after_refresh,redetect_points,persistent_inliers,redetect_inliers,persistent_affine_ok,redetect_affine_ok,persistent_reinitialized
421,260,260,300,260,300,True,True,False
422,260,260,300,260,300,True,True,False
423,260,260,300,260,300,True,True,False
424,260,259,300,259,300,True,True,False
425,259,259,300,259,300,True,True,False
426,259,259,300,259,300,True,True,False
427,259,259,300,259,300,True,True,False
428,259,259,299,259,299,True,True,False
429,259,259,245,259,245,True,True,False
430,259,259,300,259,298,True,True,False
431,259,259,300,259,300,True,True,False
432,259,259,300,259,300,True,True,False
433,259,259,300,259,300,True,True,False
434,259,259,298,259,298,True,True,False
435,259,259,300,259,300,True,True,False
436,259,259,300,259,300,True,True,False
437,259,259,300,259,300,True,True,False
438,259,259,300,259,300,True,True,False
439,259,259,300,259,300,True,True,False
440,259,259,300,259,300,True,True,False
441,259,259,300,259,300,True,True,False
442,259,259,300,259,300,True,True,False
443,259,259,300,259,300,True,True,False
444,259,259,300,259,300,True,True,False
445,259,259,300,259,300,True,True,False
446,259,259,300,259,300,True,True,False
447,259,259,300,259,300,True,True,False
448,259,259,300,259,300,True,True,False
449,259,259,300,259,300,True,True,False
450,259,259,300,259,300,True,True,False
451,259,258,300,259,300,True,True,False
452,258,258,300,258,300,True,True,False
453,258,258,299,258,299,True,True,False
454,258,258,300,258,300,True,True,False
455,258,258,300,258,300,True,True,False
456,258,258,300,258,300,True,True,False
457,258,258,300,258,300,True,True,False
458,258,258,300,258,300,True,True,False
459,258,258,300,258,300,True,True,False
460,258,258,299,258,299,True,True,False
461,258,258,300,258,300,True,True,False
462,258,258,299,258,299,True,True,False
463,258,258,300,258,300,True,True,False
464,258,258,300,258,300,True,True,False
465,258,258,300,258,300,True,True,False
466,258,258,300,258,300,True,True,False
467,258,258,300,258,300,True,True,False
468,258,258,300,258,300,True,True,False
469,258,258,300,258,300,True,True,False
470,258,258,300,258,300,True,True,False
471,258,258,300,258,300,True,True,False
472,258,258,300,258,300,True,True,False
473,258,258,300,258,300,True,True,False
474,258,258,300,258,300,True,True,False
475,258,258,300,258,300,True,True,False
476,258,258,300,258,300,True,True,False
477,258,258,300,258,300,True,True,False
478,258,258,300,258,300,True,True,False
479,258,258,300,258,300,True,True,False
480,258,258,300,258,300,True,True,False
481,258,258,300,258,300,True,True,False
482,258,258,300,258,300,True,True,False
483,258,258,293,258,293,True,True,False
484,258,258,300,258,300,True,True,False
485,258,258,300,258,300,True,True,False
486,258,258,300,258,300,True,True,False
487,258,258,300,258,300,True,True,False
488,258,258,300,258,300,True,True,False
489,258,258,300,258,300,True,True,False
490,258,258,300,258,300,True,True,False
491,258,258,299,258,299,True,True,False
492,258,258,300,258,300,True,True,False
493,258,258,300,258,300,True,True,False
494,258,258,300,258,300,True,True,False
495,258,258,300,258,300,True,True,False
496,258,258,300,258,300,True,True,False
497,258,258,300,258,300,True,True,False
498,258,258,300,258,300,True,True,False
499,258,258,300,258,300,True,True,False
500,258,258,300,258,300,True,True,False
501,258,258,300,258,300,True,True,False
502,258,258,300,258,300,True,True,False
503,258,258,300,258,300,True,True,False
504,258,258,300,258,300,True,True,False
505,258,258,300,258,300,True,True,False
506,258,258,300,258,300,True,True,False
507,258,258,300,258,300,True,True,False
508,258,258,300,258,300,True,True,False
509,258,258,300,258,300,True,True,False
510,258,258,300,258,300,True,True,False
511,258,258,300,258,300,True,True,False
512,258,258,300,258,300,True,True,False
513,258,258,300,258,300,True,True,False
514,258,258,300,258,300,True,True,False
515,258,258,300,258,300,True,True,False
516,258,258,300,258,300,True,True,False
517,258,258,300,258,300,True,True,False
518,258,258,300,258,300,True,True,False
519,258,258,300,258,300,True,True,False
520,258,258,300,258,300,True,True,False
521,258,258,300,258,300,True,True,False
522,258,258,300,258,300,True,True,False
523,258,258,300,258,300,True,True,False
524,258,258,300,258,300,True,True,False
525,258,258,300,258,300,True,True,False
526,258,258,300,258,300,True,True,False
527,258,258,300,258,300,True,True,False
528,258,258,300,258,300,True,True,False
529,258,258,300,258,300,True,True,False
530,258,258,300,258,300,True,True,False
531,258,258,300,258,300,True,True,False
532,258,258,300,258,300,True,True,False
533,258,258,300,258,300,True,True,False
534,258,258,300,258,300,True,True,False
535,258,258,300,258,300,True,True,False
536,258,258,300,258,300,True,True,False
