Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
68,6.181818181818182,81.64733312166081,-13.538632890997434,-13.544670312056752,1288.3208382116104,-13.5,-13.5,-13.5,houghpeaks,False,0.0,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
69,6.2727272727272725,82.01700980878971,-13.475699466732891,-13.487517604666095,1294.1540009276482,-11.5,-11.5,-11.5,houghpeaks,False,0.0,0.5,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
70,6.363636363636363,79.54000503204696,-13.640255542044498,-13.559879060775557,1255.0691129317074,-11.0,-11.0,-11.0,houghpeaks,False,0.0,1.0,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
71,6.454545454545454,79.57002029508486,-13.66939416268629,-13.61163012407431,1255.5427265496623,-11.0,-11.0,-11.0,houghpeaks,False,0.0,0.5,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
72,6.545454545454546,79.40499831888889,-13.650786695494656,-13.624632709650399,1252.938829489371,-9.0,-9.0,-9.0,houghpeaks,False,0.0,1.0,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
73,6.636363636363637,79.25525526112344,-13.674289366139154,-13.64879179032667,1250.5760198993837,-10.5,-10.5,-10.5,houghpeaks,False,0.0,1.0,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
74,6.7272727272727275,77.92011435660278,-13.806193836795039,-13.659158570200418,1229.5087077964936,-10.0,-10.0,-10.0,houghpeaks,False,0.0,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
75,6.818181818181818,77.74957842188336,-13.581817552366134,-13.579142978180528,1226.8178054735047,-10.0,-10.0,-10.0,houghpeaks,False,0.0,0.5,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
76,6.909090909090909,77.96863000906808,-13.587375708212859,-13.57237557576667,1230.2742407742498,-7.0,-7.0,-7.0,houghpeaks,False,0.0,1.5,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
77,7.0,78.92763601174443,-13.479152091973276,-13.510766219475386,1245.406485392417,-7.5,-7.5,-7.5,houghpeaks,False,0.0,1.5,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
78,7.090909090909091,79.0459236840872,-13.45593245013194,-13.50171238956537,1247.2729575398375,-9.0,-9.0,-9.0,houghpeaks,False,0.0,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
79,7.181818181818182,79.14229759199308,-13.461681578104589,-13.506745967749566,1248.7936503667547,-9.5,-9.5,-9.5,houghpeaks,False,0.0,1.0,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
80,7.2727272727272725,78.95176831972256,-13.480956108739235,-13.50777425565198,1245.7872713171212,-11.0,-11.0,-11.0,houghpeaks,False,0.0,0.5,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
81,7.363636363636363,79.60788743929837,-13.36312476917115,-13.392420263298163,1256.1402357285738,-7.0,-7.0,-7.0,houghpeaks,False,0.0,2.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
82,7.454545454545454,78.23069338028715,-13.4807879710925,-13.453669721183388,1234.4093630025586,-8.0,-8.0,-8.0,houghpeaks,False,0.0,1.0,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
83,7.545454545454546,76.46156637876986,-13.740066480025042,-13.65758039186889,1206.4941440437058,-9.0,-9.0,-9.0,houghpeaks,False,0.0,1.0,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
84,7.636363636363637,76.83954562436267,-13.734266587882757,-13.735887877472834,1212.458313599411,-7.5,-7.5,-7.5,houghpeaks,False,0.09587217043941411,1.0,8,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
85,7.7272727272727275,76.2877100353438,-13.839005451336632,-13.772603957885849,1203.7508486839258,-8.0,-8.0,-8.0,houghpeaks,False,0.0,1.0,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
86,7.818181818181818,76.60856363831964,-13.81462414633065,-13.785109369278103,1208.8136274291066,-8.5,-8.5,-8.5,houghpeaks,False,0.0,0.5,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
87,7.909090909090909,76.66782363421635,-13.824268852615448,-13.809622608702625,1209.748696397891,-8.0,-8.0,-8.0,houghpeaks,False,0.0,0.5,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
88,8.0,76.73416753650756,-13.821169103238049,-13.820081308151202,1210.7955429823678,-8.5,-8.5,-8.5,houghpeaks,False,0.0,0.5,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
