variant,FL_RMSE_mm,PEN_RMSE_deg,ANG_RMSE_deg,passes_final_targets,prior_angle_RMSE_vs_MATLAB_final_deg,prior_angle_RMSE_vs_Python_TimTrack_deg,prior_xsup_RMSE_vs_MATLAB_raw_px,prior_length_RMSE_vs_MATLAB_raw_mm,seed_alpha_deg,target_score,seed_xsup,seed_ysup,seed_xdeep,seed_ydeep
calibrated_seed_18.25,1.9250141675174006,1.040242117379062,1.051336195713023,False,3.6891179992944223,4.112598144261638,22.469722424426443,5.512972611717,18.25,1.051336195713023,738.232302458209,55.54966146313288,-32.23230502489677,309.6107873329363
calibrated_seed_16.60,2.1252259428853044,0.9617975604440928,0.9634152463972829,False,2.7270476291784207,3.7864957161788944,23.95063298071114,3.5074958117048474,16.6,1.0626129714426522,775.6700020764968,56.43884517114216,-69.67001623347237,308.44564973572795
calibrated_seed_18.30,1.9502288499785174,1.0557690970498823,1.0669477720366145,False,3.7657032267617176,4.167839451376069,23.31613454456226,5.652534030499977,18.3,1.0669477720366145,737.191298346263,55.52493654932272,-31.191302131494968,309.64318545693345
calibrated_seed_16.55,2.1609670383430446,0.9744747804803131,0.9757096836851614,False,2.757635390548288,3.8222876219779054,24.989005922848616,3.606108707547425,16.55,1.0804835191715223,776.9070039123076,56.46822523162655,-70.90698605421188,308.4071527230039
calibrated_seed_18.35,1.9768043418482595,1.0717591233965476,1.0830132419911849,False,3.8438228112872808,4.225123086024164,24.172849180463498,5.792720774484388,18.35,1.0830132419911849,736.1553125361393,55.50033082532033,-30.15531058809516,309.675427617542
calibrated_seed_16.50,2.197907913698226,0.9878871787836682,0.9887450371673707,False,2.791284775376918,3.8601490846582394,26.050320930043725,3.7141565291623144,16.5,1.098953956849113,778.15059411001,56.497761772453316,-72.15059597173742,308.3684490569839
calibrated_seed_18.40,2.004761711340984,1.0882325054305988,1.0995528843591424,False,3.9236345163032125,4.284569772777801,25.042718839737038,5.933717311316493,18.4,1.0995528843591424,735.124296917255,55.475843148450195,-29.124302862406754,309.70751467162285
calibrated_seed_18.45,2.0339443799924664,1.1051116177279714,1.116490449097348,False,4.004811633970872,4.345909284100442,25.917649225743272,6.075004380350667,18.45,1.116490449097348,734.098228019317,55.451472961268706,-28.09822802764316,309.7394482041209
calibrated_seed_16.45,2.2360578859118325,1.0020164126234143,1.0025036521052886,False,2.827930291420161,3.9001035699716855,27.135918095407995,3.831156186743356,16.45,1.1180289429559163,779.4008766801431,56.527457263979386,-73.40085328737894,308.3295385104357
calibrated_seed_18.50,2.0643605034927015,1.1224118819862106,1.1338414280990436,False,4.087463854188025,4.409221728139821,26.799445425639718,6.216602492714065,18.5,1.1338414280990436,733.0770597457234,55.427219168934414,-27.077058060647843,309.77122908717377
calibrated_seed_16.40,2.275308132001398,1.0168319975483744,1.0169551867899165,False,2.867383184904773,3.9419757466365,28.24058969240839,3.9564041918437125,16.4,1.137654066000699,780.657854042319,56.557311763673,-74.65786581755306,308.2904177278935
calibrated_seed_18.55,2.0958848489664446,1.1400756122608282,1.1515490038381748,False,4.1713896527990695,4.474330180579787,27.688666476272957,6.358578629580893,18.55,1.1515490038381748,732.0607525457048,55.40308083207606,-26.06075925317954,309.80285836985036
calibrated_seed_16.35,2.315650999720304,1.0323035161158371,1.0320701062004747,False,2.9095400060395615,3.9857581126590738,29.36451339444505,4.089389208116695,16.35,1.157825499860152,781.9216297650655,56.58732773139275,-75.9216437425557,308.25108639252585
calibrated_seed_18.60,2.1285433410915497,1.158120471094285,1.1696308517775782,False,4.256693131625434,4.541313255875034,28.58274873917975,6.500831498162764,18.6,1.1696308517775782,731.0492803029477,55.37905733040438,-25.04928545071957,309.83433748857294
calibrated_seed_16.30,2.3570386270454593,1.0484151789711103,1.0478325671667281,False,2.9542702787926034,4.031356627501734,30.50618223233361,4.229596070005725,16.3,1.1785193135227297,783.1922555178859,56.61750639434226,-77.19224921818255,308.2115425699181
calibrated_seed_18.65,2.162204695656583,1.176493467489134,1.1880350578229932,False,4.343184199871763,4.60999174832464,29.480172693975398,6.643093596777125,18.65,1.1880350578229932,730.0426011490933,55.355147669503026,-24.04260664302955,309.86566737732113
calibrated_seed_16.25,2.399387399796045,1.0651216033615396,1.064197629196313,False,3.001393195453697,4.078650717871754,31.664919618211794,4.376504290152383,16.25,1.1996936998980225,784.4697675218714,56.6478486128095,-78.46976075806114,308.17178381656674
calibrated_seed_18.70,2.196844229488393,1.1951864926645377,1.2067535763966715,False,4.4308746562607,4.680366074959367,30.380513596468127,6.785472771498474,18.7,1.2067535763966715,729.0406898809172,55.33135125076956,-23.040677188980506,309.8968494565396
calibrated_seed_16.20,2.4426953540955543,1.0824100513599426,1.0811525733692564,False,3.050805649152563,4.127609356699904,32.840286174992386,4.52970790779302,16.2,1.2213476770477771,785.7542262334044,56.67835582269558,-79.7542344717031,308.1318083862299
calibrated_seed_18.75,2.2323987773957725,1.2141741350790851,1.2257618302971003,False,4.5196855890840935,4.752355078658916,31.284288612427698,6.927889377954037,18.75,1.2257618302971003,728.0434890168384,55.30766670895764,-22.043483773622068,309.9278841406166
calibrated_seed_16.15,2.4869265481803104,1.1002623138212668,1.0986790618053857,False,3.102428910453172,4.178196066506455,34.029984286580266,4.688719337604636,16.15,1.2434632740901552,787.0457077000374,56.70902983020764,-81.04571253592425,308.09161496627934
calibrated_seed_18.80,2.2688011585249606,1.2334294736174864,1.2450330316896834,False,4.60952451960133,4.825867857268127,32.1885459894379,7.0701483222755765,18.8,1.2450330316896834,727.0509729757846,55.28409343649054,-21.050982502567013,309.9587727956345
calibrated_seed_18.85,2.3060397444899654,1.2529550303291324,1.2645700697185989,False,4.700447719772377,4.90093088529259,33.094392751140354,7.212325041929212,18.85,1.2645700697185989,726.0631175268247,55.26063085785887,-20.063128831260507,309.98951680791043
calibrated_seed_16.10,2.5319952470551184,1.118621248491393,1.116720579450317,False,3.155987622576875,4.230208796398997,35.23361807231513,4.853114584913916,16.1,1.2659976235275592,788.3442639760946,56.739871871689246,-82.34426189021278,308.0512014734223
calibrated_seed_18.90,2.3440086379435083,1.2727053197065346,1.2843281373483184,False,4.792285633081117,4.977383021148198,33.999396983779405,7.354217792797689,18.9,1.2843281373483184,725.0798871327006,55.23727812901632,-19.079889963189814,310.02011719813845
calibrated_seed_16.05,2.5779083472353763,1.137490047233798,1.1352798589670015,False,3.211506993805371,4.283707867570842,36.452850221174764,5.022698587187602,16.05,1.2889541736176882,789.6499559884413,56.77088339421584,-83.64994214116089,308.01056605258054
calibrated_seed_18.95,2.382656081260091,1.2926593323449704,1.3042864617243508,False,4.8849604821547,5.055140979854714,34.90577990037959,7.495939045439119,18.95,1.3042864617243508,724.1012323950026,55.2140340767001,-18.101247349309737,310.05057454360247
calibrated_seed_16.00,2.6246228772873685,1.1568414822497066,1.1543295346851952,False,3.2688040810087,4.338561031214903,37.683543625870755,5.1969600696017535,16.0,1.3123114386436843,790.9628226347857,56.80206532164783,-84.96283576938593,307.96970613678985
calibrated_seed_19.00,2.4221194953153296,1.3128924429167268,1.3245200352515343,False,4.978891364945021,5.134555333823487,35.81422445765965,7.637611330671047,19.0,1.3245200352515343,723.1271456626597,55.1908985191894,-17.12714216690647,310.0808906749848
calibrated_seed_15.95,2.672103749183884,1.1766446284911882,1.1738389778402338,False,3.327777192991348,4.394720886865183,38.928198400296864,5.37578730453849,15.95,1.336051874591942,792.2829704520198,56.83342018434553,-86.28296055819541,307.92862117259745
calibrated_seed_19.05,2.4620764797725436,1.3332522837281051,1.3448780243430527,False,5.0733701394261095,5.2149867943826616,36.71882252331595,7.778751931995468,19.05,1.3448780243430527,722.1575675759084,55.16787004662905,-16.15756692714036,310.11106582535336
calibrated_seed_15.90,2.720324369072345,1.1968845772572347,1.1937928658452173,False,3.3883332217655266,4.452133403841439,40.18550282537478,5.558829479105847,15.9,1.3601621845361724,793.6104119537167,56.86494827951907,-87.61042752774958,307.8873077048306
calibrated_seed_19.10,2.502694767619948,1.3538223892239216,1.3654432653686832,False,5.168852939259132,5.29682564259966,37.62596026718753,7.91983102331353,19.1,1.3654432653686832,721.1924832590354,55.14494830570564,-15.192471166501411,310.1411015652351
calibrated_seed_15.85,2.7692458263057094,1.217539178965208,1.2141688655791953,False,3.4503510654594103,4.510709767394549,41.45382982117367,5.745795953352602,15.85,1.3846229131528547,794.9452585641478,56.89665225360906,-88.94525250228227,307.84576524100703
calibrated_seed_19.15,2.543851040499342,1.3745516218592353,1.3861652394436024,False,5.265089086485001,5.379832706413401,38.5294357461517,8.060368347516315,19.15,1.3861652394436024,720.2318389971337,55.12213202063509,-14.231843128016013,310.1709982605308
calibrated_seed_19.20,2.5855977775991943,1.3954677085215996,1.4070715249490975,False,5.362305934035544,5.4641958649387625,39.43399668264939,8.200704102710985,19.2,1.4070715249490975,719.275627785921,55.099421025058575,-13.275625875997287,310.20075768319475
calibrated_seed_15.80,2.818832980246345,1.238577389194197,1.2349360629203692,False,3.5137397104241237,4.570406309106886,42.734699703617004,5.936581566621639,15.8,1.4094164901231725,796.2875353168284,56.928532701187095,-90.28753711762835,307.8039906180131
calibrated_seed_19.25,2.6277119776834983,1.416470121506648,1.4280627746244607,False,5.4599718928675705,5.549417365303449,40.33649596128141,8.34061736488292,19.25,1.4280627746244607,718.3238072794918,55.076814313217454,-12.323797739013234,310.2303805076859
calibrated_seed_15.75,2.8690810655543277,1.2599902644467902,1.2560849762498756,False,3.578382786386452,4.631139422492529,44.02649882332655,6.1309535204413095,15.75,1.4345405327771639,797.637320613955,56.960591484385674,-91.63733234160091,307.76198224962695
calibrated_seed_19.30,2.670356962904486,1.4376360146056444,1.4492152667352587,False,5.558576118027509,5.635934903289545,41.23748764300631,8.480162037915882,19.3,1.4492152667352587,717.3763410801396,55.05431102062889,-11.376331819806287,310.25986757110144
calibrated_seed_15.70,2.919991394051862,1.2817760273433323,1.277613560773973,False,3.644272654012944,4.69292661734409,45.32927680693608,6.328687190867356,15.7,1.459995697025931,798.9946847570998,56.992830272939074,-92.99469853165887,307.719738257402
calibrated_seed_19.35,2.713372733706139,1.4588975809291613,1.4704621740658887,False,5.657747268557607,5.72338986306332,42.135192554995086,8.619135869734407,19.35,1.4704621740658887,716.4331929329229,55.031910286200855,-10.433201680135616,310.2892196962532
calibrated_seed_15.65,2.9714643644353096,1.3038788351090547,1.2994659357147476,False,3.7111914120133083,4.755583157465753,46.643613546114466,6.529786485859543,15.65,1.4857321822176548,800.3596903459561,57.02525055365416,-94.35970506392937,307.6772564822122
calibrated_seed_19.40,2.756759559078583,1.4802571540839122,1.49180568640802,False,5.757551518263864,5.811830266181651,43.03244935945255,8.757762475088214,19.4,1.49180568640802,715.494346649406,55.009611725441545,-9.494361793100804,310.31843830003083
calibrated_seed_15.60,3.023548448943363,1.3263105425861177,1.3216537315476944,False,3.7791834628682466,4.819176612124896,47.96904955336756,6.733998001327438,15.6,1.5117742244716814,801.7324041441221,57.057853912234805,-95.73241876805348,307.6345348441834
calibrated_seed_19.45,2.800561770636508,1.5017385555738085,1.513269563913904,False,5.858143808624562,5.9013818655293315,43.92688168234827,8.895860866865753,19.45,1.513269563913904,714.559766620902,54.98741449260808,-8.559786260554068,310.34752418843715
