frame,baseline_alpha_deg,matlab_alpha_deg,baseline_raw_error_deg,localmax_alpha_deg,delta_localmax_deg,mass_below_8deg,mass_below_10deg,gap_to_lower_deg,oracle_high_angle_overweight
250,21.0,20.5,0.5,19.5,1.5,0.2763720013144923,0.09300032862306934,0.5,False
251,21.0,20.5,0.5,18.5,2.5,0.27830653101411224,0.09451919921234,0.5,False
252,21.0,20.5,0.5,15.0,6.0,0.2766447368421053,0.09309210526315789,0.5,False
253,21.0,20.0,1.0,15.0,6.0,0.2767564018384767,0.09356533158240316,0.5,False
254,21.5,20.0,1.5,15.0,6.5,0.2763504611330698,0.1821475625823452,1.0,False
255,21.5,20.0,1.5,15.5,6.0,0.2795911638641609,0.184305967688757,1.0,False
256,21.0,19.5,1.5,13.0,8.0,0.27949901120632825,0.18358602504943966,0.5,False
257,21.0,20.0,1.0,15.5,5.5,0.27865612648221344,0.18313570487483533,0.5,False
258,21.5,20.0,1.5,13.0,8.5,0.18968935888962327,0.09418374091209518,1.0,False
259,21.5,19.5,2.0,13.0,8.5,0.18892940006629103,0.09446470003314551,1.0,False
260,21.5,20.0,1.5,15.5,6.0,0.18970099667774087,0.0946843853820598,1.0,False
261,21.5,20.0,1.5,13.0,8.5,0.2797087057265806,0.1850380668652764,1.0,False
262,21.5,20.0,1.5,15.0,6.5,0.2801453584407004,0.18566237198546415,1.0,False
263,21.5,20.0,1.5,20.0,1.5,0.28288169200264374,0.18935888962326503,1.0,False
264,21.5,20.0,1.5,20.0,1.5,0.28202581926514403,0.18867924528301888,1.0,False
265,21.5,20.0,1.5,20.0,1.5,0.2821108529704613,0.18818453368735477,1.0,False
266,21.5,20.0,1.5,17.5,4.0,0.2801724137931034,0.1863395225464191,1.0,False
267,21.5,20.5,1.0,12.0,9.5,0.27930009904258835,0.18586992406734898,1.0,False
268,21.5,20.5,1.0,17.5,4.0,0.282422646477946,0.1892692560895326,1.0,False
269,21.5,20.5,1.0,17.5,4.0,0.28322368421052635,0.19013157894736843,1.0,False
270,21.5,20.5,1.0,12.0,9.5,0.2813425468904245,0.1878907535373478,1.0,False
271,21.5,20.0,1.5,12.0,9.5,0.28233749179251477,0.18811556139198948,1.0,False
272,21.5,14.5,7.0,20.0,1.5,0.2791461412151067,0.1858784893267652,0.5,False
273,21.5,20.5,1.0,12.0,9.5,0.279445727482679,0.186077202243484,0.5,False
274,21.5,20.0,1.5,12.0,9.5,0.27865612648221344,0.18511198945981555,0.5,False
275,21.5,13.5,8.0,12.0,9.5,0.28075396825396826,0.1865079365079365,0.5,True
276,21.5,13.5,8.0,12.0,9.5,0.2762684124386252,0.18527004909983635,1.0,True
277,21.5,20.5,1.0,12.0,9.5,0.2758053911900066,0.2758053911900066,1.0,False
278,21.0,20.5,0.5,20.0,1.0,0.18952536824877253,0.18952536824877253,0.5,False
279,21.5,20.0,1.5,20.0,1.5,0.1897116644823067,0.1897116644823067,0.5,False
280,21.0,20.0,1.0,20.0,1.0,0.1918300653594771,0.1918300653594771,0.5,False
281,21.0,20.0,1.0,15.5,5.5,0.19019607843137254,0.19019607843137254,0.5,False
282,21.0,20.5,0.5,15.5,5.5,0.19275929549902152,0.19275929549902152,0.5,False
283,21.0,20.0,1.0,20.0,1.0,0.19250985545335086,0.19250985545335086,0.5,False
284,21.0,20.0,1.0,15.5,5.5,0.18945634266886324,0.18945634266886324,0.5,False
285,21.0,20.0,1.0,15.5,5.5,0.1905703923508078,0.1905703923508078,0.5,False
286,21.0,20.0,1.0,20.0,1.0,0.1870026525198939,0.1870026525198939,0.5,False
287,21.0,21.0,0.0,15.5,5.5,0.18720852764823454,0.18720852764823454,0.5,False
288,21.0,21.0,0.0,15.5,5.5,0.18625498007968128,0.18625498007968128,0.5,False
289,21.5,21.0,0.5,15.5,6.0,0.09515859766277128,0.09515859766277128,0.5,False
290,21.5,21.0,0.5,20.0,1.5,0.09155405405405405,0.09155405405405405,0.5,False
291,21.5,20.0,1.5,17.5,4.0,0.09140332993544002,0.09140332993544002,0.5,False
292,21.5,21.0,0.5,17.5,4.0,0.09053778080326753,0.09053778080326753,0.5,False
293,21.5,21.5,0.0,20.0,1.5,0.0,0.0,0.5,False
294,21.5,21.0,0.5,17.5,4.0,0.0,0.0,0.5,False
295,21.5,21.0,0.5,20.0,1.5,0.0,0.0,0.5,False
296,22.0,21.0,1.0,15.5,6.5,0.0,0.0,0.5,False
297,21.0,21.0,0.0,17.5,3.5,0.0907557354925776,0.0907557354925776,0.5,False
298,21.5,21.0,0.5,17.5,4.0,0.17934051144010765,0.17934051144010765,1.5,False
299,21.5,20.5,1.0,17.5,4.0,0.09275265957446809,0.0,0.5,False
300,21.5,20.5,1.0,20.0,1.5,0.09205163043478261,0.09205163043478261,0.5,False
301,21.5,20.5,1.0,18.0,3.5,0.0912751677852349,0.0,0.5,False
