row,frame,matlab_alpha,python_alpha,alpha_error_python_minus_matlab,abs_alpha_error,selected_line_alpha,py_first_peak_alpha,py_first_peak_weight,py_total_peak_weight,py_weighted_peak_spread,py_nearest_peak_to_matlab,py_nearest_peak_distance_to_matlab,py_nearest_peak_index,matlab_first_peak_alpha,matlab_first_peak_weight,matlab_total_peak_weight,matlab_weighted_peak_spread,matlab_nearest_peak_to_python,matlab_nearest_peak_distance_to_python,matlab_nearest_peak_index,mask_density,n_fascicle_candidates,category
71,71,12.5,27.0,14.5,14.5,21.447734832763672,27.0,272.0,2332.0,5.2924528301886795,13.0,0.5,9,26.5,309.0,2811.0,7.05994308075418,27.0,0.0,8,0.09299775213003159,114.0,"peak exists, weighted median differs"
72,72,14.5,27.0,12.5,12.5,20.772253036499023,28.0,278.0,2488.0,4.993167202572347,14.0,0.5,4,26.5,342.0,2864.0,8.829085195530727,27.0,0.0,5,0.10184731334447861,135.0,"peak exists, weighted median differs"
73,73,25.0,27.0,2.0,2.0,-20.224853515625,27.0,341.0,2681.0,5.234240954867587,25.0,0.0,5,26.5,313.0,2852.0,7.71984572230014,27.0,0.0,5,0.11299311369657516,148.0,"peak exists, weighted median differs"
74,74,25.0,27.0,2.0,2.0,19.746835708618164,27.0,353.0,2697.0,5.160548757879125,25.0,0.0,5,27.0,313.0,2858.0,6.511021693491952,27.0,0.0,0,0.11714053153991699,131.0,"peak exists, weighted median differs"
75,75,14.0,27.0,13.0,13.0,20.772253036499023,27.0,374.0,2724.0,5.545888399412629,14.0,0.0,4,27.0,329.0,2892.0,6.202282157676349,27.0,0.0,0,0.11374777555465698,145.0,"peak exists, weighted median differs"
76,76,23.0,27.0,4.0,4.0,22.166345596313477,28.0,268.0,2073.0,4.833092136999517,25.0,2.0,5,27.0,332.0,2873.0,7.566481030281936,27.0,0.0,0,0.08012332767248154,72.0,nearest Python peak also far
77,77,25.0,28.0,3.0,3.0,19.65382194519043,28.0,245.0,2138.0,4.37979420018709,25.0,0.0,3,27.0,335.0,2842.0,6.5492610837438425,27.5,0.5,1,0.07897520810365677,96.0,"peak exists, weighted median differs"
78,78,25.0,27.0,2.0,2.0,22.166345596313477,27.0,295.0,2346.0,5.040068201193521,25.0,0.0,5,15.5,320.0,2829.0,7.544715447154472,27.0,0.0,1,0.09050801396369934,111.0,"peak exists, weighted median differs"
79,79,25.0,27.0,2.0,2.0,19.65382194519043,27.0,282.0,2337.0,5.370132648694908,25.0,0.0,8,15.5,331.0,2857.0,6.4140707035351765,27.0,0.0,4,0.08913413435220718,91.0,"peak exists, weighted median differs"
80,80,25.0,27.0,2.0,2.0,19.093490600585938,27.0,279.0,2260.0,4.855309734513274,25.0,0.0,5,15.5,345.0,2915.0,6.690222984562607,27.5,0.5,1,0.0854833722114563,98.0,"peak exists, weighted median differs"
81,81,23.5,27.0,3.5,3.5,21.03750991821289,28.0,228.0,1961.0,4.576746557878633,25.0,1.5,3,15.5,333.0,2806.0,5.857804704205274,27.0,0.0,5,0.07117056846618652,77.0,nearest Python peak also far
82,82,25.5,27.0,1.5,1.5,21.801406860351562,28.0,231.0,1942.0,3.75437693099897,25.0,0.5,1,27.5,332.0,2882.0,6.26058292852186,27.0,0.0,4,0.0683518648147583,58.0,"peak exists, weighted median differs"
83,83,18.5,27.0,8.5,8.5,21.801406860351562,28.0,240.0,2002.0,3.7552447552447554,20.0,1.5,8,14.0,315.0,2844.0,6.737517580872011,27.5,0.5,2,0.07220258563756943,64.0,nearest Python peak also far
84,84,25.0,28.0,3.0,3.0,21.03750991821289,28.0,262.0,2218.0,5.175834084761046,25.0,0.0,9,14.0,318.0,2909.0,6.356823650739085,28.0,0.0,1,0.08354833722114563,96.0,"peak exists, weighted median differs"
85,85,25.0,27.0,2.0,2.0,21.447734832763672,27.0,254.0,2268.0,3.587742504409171,25.0,0.0,8,15.5,312.0,2833.0,5.675608895164137,27.5,0.5,3,0.08436105400323868,65.0,"peak exists, weighted median differs"
86,86,25.0,26.0,1.0,1.0,20.772253036499023,27.0,287.0,2388.0,4.590452261306533,25.0,0.0,9,27.5,331.0,2825.0,5.429203539823009,26.5,0.5,9,0.08998554944992065,111.0,matched within 1 deg
87,87,25.5,27.0,1.5,1.5,26.56505012512207,28.0,260.0,2262.0,5.07603890362511,26.0,0.5,7,27.5,315.0,2823.0,5.386999645766915,27.5,0.5,0,0.08775380998849869,108.0,"peak exists, weighted median differs"
88,88,25.5,27.0,1.5,1.5,-19.798873901367188,28.0,288.0,2415.0,4.920496894409938,25.0,0.5,7,15.5,313.0,2882.0,6.67383761276891,27.5,0.5,1,0.09986712783575058,139.0,"peak exists, weighted median differs"
89,89,25.5,26.0,0.5,0.5,25.11483383178711,28.0,297.0,2526.0,4.793349168646081,25.0,0.5,7,15.5,313.0,2821.0,6.323998582063099,25.5,0.5,2,0.10404679924249649,114.0,matched within 1 deg
90,90,23.5,28.0,4.5,4.5,19.230670928955078,28.0,327.0,2558.0,5.9456606724003125,25.0,1.5,2,27.5,300.0,2777.0,6.06229744328412,27.5,0.5,0,0.10643334686756134,148.0,nearest Python peak also far
91,91,26.5,28.0,1.5,1.5,27.095552444458008,28.0,280.0,2177.0,4.819935691318328,26.0,0.5,1,28.0,294.0,2768.0,6.797326589595376,28.0,0.0,0,0.07638870924711227,74.0,"peak exists, weighted median differs"
92,92,25.0,27.0,2.0,2.0,20.55604362487793,29.0,258.0,2071.0,4.467407049734428,26.0,1.0,3,28.0,298.0,2693.0,5.944300037133309,27.0,0.0,4,0.07526639103889465,80.0,"peak exists, weighted median differs"
93,93,16.5,27.0,10.5,10.5,18.434947967529297,29.0,264.0,2130.0,6.965258215962441,15.0,1.5,7,28.0,285.0,2727.0,6.566006600660066,28.0,1.0,0,0.07419566810131073,66.0,nearest Python peak also far
94,94,17.5,27.0,9.5,9.5,19.65382194519043,29.0,247.0,2060.0,7.415533980582524,15.0,2.5,5,13.0,289.0,2689.0,6.222201561918929,28.5,1.5,2,0.07542119175195694,67.0,nearest Python peak also far
95,95,17.5,28.0,10.5,10.5,26.56505012512207,30.0,234.0,1851.0,6.148568341437061,15.0,2.5,9,15.0,295.0,2628.0,6.260654490106545,28.5,0.5,2,0.05525168403983116,54.0,nearest Python peak also far
96,96,16.0,28.0,12.0,12.0,27.216110229492188,30.0,206.0,1674.0,6.448028673835125,15.0,1.0,8,29.0,287.0,2650.0,7.843396226415094,27.5,0.5,9,0.051768623292446136,36.0,"peak exists, weighted median differs"
97,97,28.0,29.0,1.0,1.0,26.56505012512207,31.0,200.0,1725.0,7.110144927536232,28.0,0.0,5,29.0,294.0,2627.0,5.074800152264941,29.0,0.0,0,0.054264817386865616,40.0,matched within 1 deg
98,98,29.5,30.0,0.5,0.5,18.85315704345703,30.0,246.0,1978.0,6.051061678463094,30.0,0.5,0,30.0,312.0,2650.0,4.1443396226415095,30.0,0.0,0,0.06570731848478317,66.0,matched within 1 deg
99,99,22.0,30.0,8.0,8.0,19.746835708618164,31.0,250.0,1978.0,5.578361981799798,17.0,5.0,6,30.5,277.0,2592.0,5.763117283950617,30.5,0.5,0,0.07412471622228622,69.0,nearest Python peak also far
100,100,30.5,29.0,-1.5,1.5,21.03750991821289,31.0,255.0,2104.0,5.7091254752851714,31.0,0.5,0,32.0,277.0,2600.0,5.948653846153846,30.5,1.5,2,0.08589617908000946,79.0,"peak exists, weighted median differs"
101,101,23.0,29.0,6.0,6.0,19.855213165283203,32.0,253.0,2015.0,6.437717121588089,19.0,4.0,4,19.5,277.0,2573.0,6.175670423630004,30.5,1.5,3,0.07825924456119537,82.0,nearest Python peak also far
102,102,23.0,29.0,6.0,6.0,21.31791114807129,31.0,250.0,1881.0,6.501329080276449,19.0,4.0,1,18.0,307.0,2665.0,6.402439024390244,30.0,1.0,3,0.0674424022436142,77.0,nearest Python peak also far
103,103,19.5,30.0,10.5,10.5,19.5731258392334,31.0,248.0,1890.0,4.460846560846561,19.0,0.5,2,19.5,294.0,2623.0,6.602363705680519,30.5,0.5,7,0.06833896785974503,72.0,"peak exists, weighted median differs"
104,104,19.0,32.0,13.0,13.0,20.695449829101562,32.0,262.0,1958.0,7.255873340143003,19.0,0.0,3,19.0,302.0,2629.0,7.912514263978699,32.0,0.0,9,0.0716027244925499,70.0,"peak exists, weighted median differs"
105,105,29.5,31.0,1.5,1.5,19.79887580871582,31.0,264.0,1997.0,4.943415122684026,29.0,0.5,2,31.0,302.0,2645.0,6.165217391304348,31.0,0.0,0,0.07195748388767242,70.0,"peak exists, weighted median differs"
106,106,30.5,32.0,1.5,1.5,17.35402488708496,32.0,256.0,1923.0,4.56266250650026,30.0,0.5,1,31.0,292.0,2618.0,6.625095492742552,32.0,0.0,1,0.06920973211526871,69.0,"peak exists, weighted median differs"
107,107,30.5,30.0,-0.5,0.5,18.434947967529297,32.0,218.0,1746.0,3.2628865979381443,30.0,0.5,2,31.0,294.0,2575.0,7.83126213592233,30.5,0.5,4,0.06324982643127441,63.0,matched within 1 deg
108,108,19.0,30.0,11.0,11.0,19.440032958984375,32.0,222.0,1857.0,4.409800753904147,19.0,0.0,3,19.0,291.0,2644.0,6.8458774583963695,31.0,1.0,5,0.06828736513853073,59.0,"peak exists, weighted median differs"
