family,method,block_size,offset,offset_units,candidate_index,target,mean_iou,mean_dice,mean_mae,mean_target_density,mean_pred_density,mean_density_bias,mean_abs_density_bias,min_iou,min_dice
skimage,mean,51,0.0392156862745098,float01_offset,194,apo_thres_from_raw_red_channel,0.5389298232744557,0.6993976369423438,0.25985508610038566,0.3009349338046927,0.5598233298272617,0.2588883960225688,0.2588883960225688,0.46190050302910124,0.6319178385560846
cv2,mean,51,-20.0,uint8_C,78,apo_thres_from_raw_red_channel,0.5364994890543305,0.69765809355648,0.13973768310263832,0.3009349338046927,0.163128950631597,-0.13780598317309578,0.13780598317309578,0.4792667796669404,0.6479788314787251
skimage,gaussian,41,-0.058823529411764705,float01_offset,123,apo_thres_from_raw_red_channel,0.5357609130661186,0.6969127569676314,0.1420544348447527,0.3009349338046927,0.1701374536957693,-0.13079748010892345,0.13079748010892345,0.47685811396663547,0.6457737672386968
cv2,gaussian,41,5.0,uint8_C,17,apo_thres_from_raw_red_channel,0.5357970304626241,0.6969005294482068,0.241899069938851,0.3009349338046927,0.49489547313486504,0.19396053933017227,0.19396053933017227,0.4631600482097033,0.6330955369871092
skimage,gaussian,41,0.0196078431372549,float01_offset,127,apo_thres_from_raw_red_channel,0.5296710402048554,0.691611542815894,0.2499187890722576,0.3009349338046927,0.5068379601159132,0.20590302631122043,0.20590302631122043,0.4549510681750185,0.6253833247405014
skimage,mean,41,-0.0784313725490196,float01_offset,177,apo_thres_from_raw_red_channel,0.52935059238059,0.6914300617701113,0.14249997479660864,0.3009349338046927,0.16308582482858894,-0.13784910897610386,0.13784910897610386,0.46867235652575695,0.638225884001021
cv2,gaussian,41,-15.0,uint8_C,13,apo_thres_from_raw_red_channel,0.5233189006235647,0.6862538702524038,0.14570472602793433,0.3009349338046927,0.16578202762963784,-0.1351529061750549,0.1351529061750549,0.463979245659549,0.6338604143947656
cv2,mean,41,-20.0,uint8_C,67,apo_thres_from_raw_red_channel,0.5232574562516041,0.6862358305462847,0.14426953290834815,0.3009349338046927,0.16094885727823535,-0.13998607652645742,0.13998607652645742,0.4636562628086056,0.6335589504039658
cv2,mean,41,10.0,uint8_C,73,apo_thres_from_raw_red_channel,0.5199038526640911,0.6831309671341942,0.278268123758733,0.3009349338046927,0.573443242522714,0.2725083087180212,0.2725083087180212,0.4438067198596832,0.614773035414068
skimage,mean,41,0.0392156862745098,float01_offset,183,apo_thres_from_raw_red_channel,0.5127918906585035,0.6769194697453995,0.2865314756753669,0.3009349338046927,0.581980471292217,0.28104553748752437,0.28104553748752437,0.4367054238188954,0.6079261852552795
