cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_px,length_std_px,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,hough_peak_fraction
a-57.50_x400_lp300,11,33,0.8612380182490879,0.4240805158885897,-57.4,0.07713892158398811,308.877368966617,10.397753662577411,,,400.0000004118199,1.16686909254217e-06,0.588,0.7008222534969912,0.0
a-36.75_x400_lp450,8,16,0.8601970349270487,0.5426431915194851,-36.7,0.04841229182758996,453.430063981455,11.82328604707818,,,399.9999998320076,8.080384966185791e-07,0.52425,0.7135138303897028,0.0
a-57.75_x400_lp300,11,22,0.8601741264810316,0.42246606503894674,-57.7,0.0497929597731941,307.50625003930276,10.368634899609741,,,400.00000034816657,9.910219918057883e-07,0.5863636363636364,0.7133452725331307,0.0
a-57.00_x400_lp300,11,29,0.8601226402198355,0.4232971718868955,-57.1,0.09359663764533768,309.9237089576751,10.420791313225902,,,399.9999999101734,1.0864549965868544e-06,0.5779999999999998,0.6950033053657256,0.0
a-36.50_x400_lp450,8,24,0.8593482962260162,0.5428241518883092,-36.5,0.10000000000000142,455.7942561420109,11.806845298344825,,,399.99999971177317,5.927639358633431e-07,0.52475,0.7100330377661856,0.0
a-37.00_x400_lp450,8,24,0.8586610891284449,0.5418604754409743,-37.1,0.0866025403784451,450.4950822629625,11.738684039684205,,,400.0000002772355,6.560366301139357e-07,0.52325,0.7003595088194841,0.0
a-58.00_x400_lp300,11,33,0.8584135511637843,0.42149958581755786,-58.0,0.08999540851465278,307.16770425753816,10.289011867843815,,,400.00000082346685,1.4619983271769366e-06,0.5876363636363636,0.7134886731870587,0.0
a-58.25_x400_lp300,11,22,0.8580052433339411,0.42017844902698126,-58.2,0.0445361771415098,306.16210619770385,10.25985720167987,,,399.99999914619315,1.377519053588278e-06,0.5865454545454546,0.7136855824985063,0.0
a-59.00_x400_lp300,11,33,0.8564623773777298,0.4195128569305479,-59.0,0.08999540851465278,303.8733203065048,10.004571060200306,,,400.0000000550858,7.440822237473853e-07,0.596,0.6869315431238179,0.0
a-58.75_x400_lp300,11,22,0.8564257222800614,0.4186481977102688,-58.7,0.04810456929208073,304.5191265419106,10.083072354926063,,,400.00000055144324,1.4670102803230845e-06,0.5905454545454546,0.6982199781233168,0.0
a-59.25_x400_lp300,11,22,0.8562702275320363,0.4184928358804872,-59.2,0.04810456929208073,302.9166315988961,10.084135700874821,,,400.00000049966786,1.428930792157811e-06,0.5949090909090909,0.690984477988926,0.0
